,Course_Number,Instructor_1,Instructor_2
0,20AC,"Harvey, NA, Dong","NA, NA, NA"
1,W20AC,"Harvey, NA, Dong","NA, NA, NA"
2,128AC,"Hatem, NA, Bazian","NA, NA, NA"
3,132AC,"Hatem, NA, Bazian","NA, NA, NA"
4,143AC,"WInston, NA, Tseng","NA, NA, NA"
5,145AC,"Michael, NA, Chang","NA, NA, NA"
6,151AC,"Young, NA, Shin","NA, NA, NA"
7,190AC,"Hatem, NA, Bazian","Irum, NA, Shiekh"
