,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4
0,100AC,"Larry, NA, Lagerstrom","Frederic, NA, Quivik","Christopher, NA, Ritter","Karen, NA, Wieckert"
1,156AC,"Liza, NA, Knapp","NA, NA, NA","NA, NA, NA","NA, NA, NA"
