,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15
0,1AC,"Taeku, NA, Lee","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
1,N1AC,"Jacob, Martin Grumbach33AC Michael, Rogin","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
2,18AC,"Gaston, NA, AlonsoDonate","Donnett, NA, Flash","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
3,60AC,"Wendy, NA, Brown","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
4,111AC,"Aaron, NA, Wildavsky","Michael, NA, Sukhov","Nadesan, NA, Permaul","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
5,118AC,"D, Paul, Thomas","Dennis, NA, Galvan","Nadesan, NA, Permaul","Keally, NA, McBride","Gaston, NA, AlonsoDonate","Alyson, NA, Cole","Felicia, NA, Wong","Christine, NA, Trost","John, NA, Brady","Edward, NA, King","Jill, NA, Hargis","Alison, NA, Kaufman","Lon, NA, Troyer","Ivan, NA, Ascher","Donnett, NA, Flash"
6,167AC,"Taeku, NA, Lee","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
7,182AC,"Lisa, Garcia, Bedolla","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
