,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7
0,20AC,"Michael, NA, Lucey","Katie, NA, Gilmartin","Carolyn, NA, Dinshaw","Christopher, NA, Nealon","Martin, NA, Meeker","Ute, NA, Rupp","Dawne, NA, Moon"
1,56AC,"Alex, NA, Saragoza","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
2,C135,"Lewis, NA, Watts","Susannah, NA, Hays","Hertha, Sweet, Wong","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
3,,"NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
