,Course_Number,Instructor_1,Instructor_2,Instructor_3
0,20AC,"Henry, NA, Miller","NA, NA, NA","NA, NA, NA"
1,105AC,"Andrew, NA, Scharlach","NA, NA, NA","NA, NA, NA"
2,114AC,"Valerie, NA, Edwards","NA, NA, NA","NA, NA, NA"
3,150AC,"Kurt, NA, Organista","NA, NA, NA","NA, NA, NA"
4,174AC,"Wendy, NA, WalkerMoffat","Evaon, NA, WongKim","NA, NA, NA"
5,175AC,"Valerie, NA, Edwards","NA, NA, NA","NA, NA, NA"
6,185AC,"Keith, NA, Feldman","Tina, NA, Sacks","Jonathan, NA, Simon"
