,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11
0,25AC,"Dunbar, NA, Ogden","Irma, NA, Mayorga","Stephen, NA, Wilmer","Tate, NA, Davis","Brandi, NA, Catanese","Joanne, NA, Taylor","Shannon, NA, Steen","Angela, NA, Marino","Joshua, NA, Williams","Philip, NA, Gotanda","Abigail, De, Kosnik"
1,52AC,"Jenefer, NA, Johnson","SanSan, NA, Kwan","Krista, NA, DeNio","Michelle, NA, Summers","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
2,117AC,"Shannon, NA, Steen","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
3,118AC,"Abigail, De, Kosnik","Michael, St, Clair","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
4,137AC,"Carla, NA, Blank","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
5,152AC,"Jenefer, NA, Johnson","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
