,Course_Number,Instructor_1,Instructor_2
0,171AC,"Jon, NA, Stone","Luís, NA, León"
1,172AC,"Jon, NA, Stone","Luís, NA, León"
2,173AC,"Purushottama, NA, Bilimoria","NA, NA, NA"
