,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5
0,39AC,"Darlene, NA, Francis","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
1,125AC,"Susan, NA, ErvinTripp","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
2,132AC,"Rhona, NA, Weinstein","Clark, NA, McKown","Jennifer, NA, Treuting","NA, NA, NA","NA, NA, NA"
3,135AC,"Enrico, NA, Jones","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
4,166AC,"Kaiping, NA, Peng","Sita, NA, Patel","Xiaowei, NA, Lu","Matt, NA, Goren","Sara, NA, Gorchoff"
5,167AC,"Rudolfo, NA, MendozaDenton","Lindsay, NA, Shaw","James, NA, Telesford","Jason, NA, Okonofua","NA, NA, NA"
6,192AC,"WeiBing, NA, Chen","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
