,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4
0,87AC,"Lauren, NA, Kroiz","NA, NA, NA","NA, NA, NA","NA, NA, NA"
1,132AC,"Atreyee, NA, Gupta","NA, NA, NA","NA, NA, NA","NA, NA, NA"
2,187AC,"Edwin, NA, Harvey","Lauren, NA, Kroiz","Emma, NA, Silverman","Grace, NA, Kuipers"
3,190AC,"Sharon, NA, Corwin","Kevin, NA, Muller","Derek, NA, Murray","NA, NA, NA"
4,192AC,"Margaretta, NA, Lovell","Derek, NA, Murray","NA, NA, NA","NA, NA, NA"
5,192G,"Kevin, NA, Muller","NA, NA, NA","NA, NA, NA","NA, NA, NA"
