,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17,Instructor_18,Instructor_19,Instructor_20,Instructor_21,Instructor_22,Instructor_23,Instructor_24,Instructor_25,Instructor_26,Instructor_27
0,26AC,"Bonnie, NA, Wade","Maria, NA, Johnson","Alan, NA, Mason","Mark, NA, DeWitt","Shannon, NA, Dudley","Benjamin, NA, Brinner","David, NA, Roche","Rajna, NA, Klaser","Steve, NA, Pond","Henry, NA, Spiller","Jocelyne, NA, Guilbault","Stephen, NA, Lessard","Francesca, Rivera and Carla, Brunet","Lisa, NA, Gold","Timothy, NA, Fuson","Gregory, NA, Bloch","JohnCarlos, NA, Perea","Rebecca, NA, Bodenheimer","Shalini, NA, Ayyagari","Tamara, NA, Roberts","Raina, NA, Ledoux","Kendra, NA, Salois","Pattie, NA, Hsu","J, Griffith, Rollefson","Ofer, NA, Gazit","Arathi, NA, Govind","Maria, NA, Sonevytsky"
1,N26AC,"Ben, NA, Brinner","Beezer, de, Martelly","Ritwik, NA, Banerji","Kendra, Van, Nyhuis","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
2,74AC,"Sarah, NA, Lappas","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
3,137AC,"Tamara, NA, Roberts","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
4,139AC,"Sarah, NA, Lappas","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
