,Course_Number,Instructor_1,Instructor_2
0,40AC,"Alex, NA, Saragoza","NA, NA, NA"
1,119AC,"TN, NA, Narasimhan","NA, NA, NA"
2,170AC,"George, NA, Brimhall","NA, NA, NA"
3,180AC,"Rosemary, NA, Joyce","Kirsten, NA, Vacca"
