,Course_Number,Instructor_1,Instructor_2
0,25AC,"Maggie, NA, Sokolik","Margi, NA, Wald"
1,50AC,"Pat, NA, Steenland","NA, NA, NA"
2,75AC,"Pat, NA, Steenland","NA, NA, NA"
3,150AC,"Pat, NA, Steenland","NA, NA, NA"
4,192AC,"Maggie, NA, Sokolik","NA, NA, NA"
