,Course_Number,Instructor_1,Instructor_2,Instructor_3
0,Spanish,"NA, NA, NA","NA, NA, NA","NA, NA, NA"
1,135AC,"Gwen, NA, Kirkpatrick","Myrna, NA, GarcíaCalderón","Adam, NA, Lifshey"
2,137AC,"Candace, NA, Slater","NA, NA, NA","NA, NA, NA"
3,165AC,"Jerry, NA, Craddock","Juan, NA, Sempere","NA, NA, NA"
4,Portuguese,"NA, NA, NA","NA, NA, NA","NA, NA, NA"
5,137AC,"Candace, NA, Slater","NA, NA, NA","NA, NA, NA"
