,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5
0,42AC,"Timothy, NA, Hampton","Emily, NA, Linares","NA, NA, NA","NA, NA, NA","NA, NA, NA"
1,142AC,"Karl, NA, Britto","Jennifer, NA, Gipson","Maya, NA, Smith","Livi, NA, YoshiokaMaxwell","Catherine, NA, Talley"
