,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17,Instructor_18,Instructor_19
0,117AC,"Jason, NA, Corburn","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA"
1,118AC,"Judith, NA, Innes","Arthur, NA, Blaustein","Rula, NA, Sadik","Robert, NA, Ogilvie","Mary, Gail, Snyder","Juan, Onésimo, Sandoval","Patrick, NA, McGovern","Elsie, NA, HarperAnderson","Robert, NA, Smith","David, NA, Campt","Alex, NA, Schafran","Malo, Andre, Hutson","Lisa, NA, Feldstein","Carmen, NA, Rojas","Nicola, NA, Szibbo","Ricardo, Huerta, Nino","Jennifer, NA, Tucker","Jason, NA, Luger","Renee, Roy, Elias"
